Classe / Finalidade,Palavra-chave / Símbolo,Nome do Token
Início de Bloco,salve,TOKEN_SALVE
Fim de Bloco,flw,TOKEN_FLW
Se,se_pa,TOKEN_SE_PA
Então,boto_fe,TOKEN_BOTO_FE
Senão,outro_trem,TOKEN_OUTRO_TREM
Enquanto,enquanto_render,TOKEN_ENQUANTO_RENDER
Saída (Print),grita_baixo,TOKEN_GRITA_BAIXO
Tipo Inteiro,papo_reto,TOKEN_INT
Tipo Float,papo_torto,TOKEN_FLOAT
Tipo Char,letra,TOKEN_CHAR
Tipo Void,sem_cao,TOKEN_VOID
Retorno,vaza,TOKEN_VAZA
Atribuição,receba,TOKEN_OP_ATRIB
AND Lógico,e,TOKEN_OP_AND
OR Lógico,ou,TOKEN_OP_OR
NOT Lógico,nao,TOKEN_OP_NOT
